2024-12-21 00:04:20, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1100' for key 'post_id'
2024-12-21 00:06:28, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1100' for key 'post_id'
2024-12-21 00:07:49, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1100' for key 'post_id'
2024-12-21 00:07:53, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1100' for key 'post_id'
2024-12-21 00:10:25, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:10:29, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:10:32, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:15:08, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:15:28, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:15:42, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:15:56, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '301' for key 'post_id'
2024-12-21 00:16:08, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '2' for key 'post_id'
2024-12-21 00:18:11, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '2' for key 'post_id'
2024-12-21 00:19:28, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '2' for key 'post_id'
2024-12-21 00:20:34, POST, Flag, SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '2' for key 'post_id'
2024-12-21 00:44:48, POST, Flag, Created a new comment reply record.
2024-12-21 00:47:45, POST, Flag, Created a new comment reply record.
2024-12-21 00:49:07, POST, Flag, Created a new comment reply record.
2024-12-21 01:50:42, POST, Flag, SQLSTATE[42S22]: Column not found: 1054 Unknown column 'posts_id' in 'field list'
2024-12-21 01:51:51, POST, Flag, SQLSTATE[42S22]: Column not found: 1054 Unknown column 'posts_id' in 'field list'
2024-12-21 01:52:47, POST, Flag, SQLSTATE[42S22]: Column not found: 1054 Unknown column 'posts_id' in 'field list'
2024-12-21 01:52:51, POST, Flag, SQLSTATE[42S22]: Column not found: 1054 Unknown column 'posts_id' in 'field list'
2024-12-21 01:57:01, POST, Flag, Created a new posts record.
2024-12-21 01:59:42, POST, Flag, Created a new comment record.
2024-12-21 02:02:43, POST, Flag, Created a new comment reply record.
2024-12-21 03:49:39, POST, Flag, Created a new comment reply record.
2024-12-21 03:50:02, POST, Flag, Created a new comment reply record.
2024-12-21 03:50:25, POST, Flag, Created a new comment record.
